关键字,分类,上级,下级
CBD,其他,CBD,高楼林立、经济活动繁忙
TOD（公共交通导向）开发模式,决策型,题目选项,围绕高铁站高强度开发是TOD模式
TOD（公共交通导向）开发模式（公共交通导向；站点周边开发；高强度利用）,人文经济地理,TOD（公共交通导向）开发模式,公共交通导向；站点周边开发；高强度利用
、,人口地理,、,劳动力不足、养老压力大
一体化,其他,一体化,资源、技术、人才合理流动
三者,其他,三者,发展
上,城市地理,上,城市外缘、上风上水地带
上下班,其他,上下班,租金较低、方便工人上下班
上升,人口地理,上升,劳动力不足、养老压力大
上风,城市地理,上风,城市外缘、上风上水地带
下水,其他,下水,远离居民区、位于下风下水地带
下降,其他,下降,符合区域发展规律
下风,其他,下风,远离居民区、位于下风下水地带
不,其他,不,地区间经济发展不平衡
不利,其他,不利,劳动力短缺、土地撂荒
不合理,其他,不合理,人类不合理活动
不同地区的技术优势,决策型,题目选项,硅谷是技术优势
不同地区的技术优势（跨国并购；海外建厂；全球布局）,人文经济地理,不同地区的技术优势,跨国并购；海外建厂；全球布局
不断,人口地理,不断,劳动力不足、养老压力大
不足,其他,不足,耐寒、早熟
专业化,其他,专业化,生产规模大、专业化程度高
世界,其他,世界,中低纬度近海平原
丘陵地区,其他,丘陵地区,气候湿润、土壤呈酸性、地形有坡度
东,地理基础,东,nan
东北,其他,东北,东北平原
东北平原,其他,其他,东北平原
东北部,其他,东北部,意大利东北部和中部
东南,其他,东南,气候湿润、土壤呈酸性、地形有坡度
严重,其他,严重,继续扩大传统工业规模
中,其他,中,中低纬度近海平原
中低纬度近海平原,其他,其他,中低纬度近海平原
中央,农业地理,中央,美国中央大平原
中小企业,其他,中小企业,意大利东北部和中部
中心,其他,中心,高楼林立、经济活动繁忙
中心区,城市地理,中心区,商业区
中部,其他,中部,意大利东北部和中部
丰富,其他,丰富,交通、餐饮、住宿、购物
为主,农业地理,为主,美国中央大平原
为了,其他,为了,减少对城区交通干扰
主导,其他,主导,水源
主要,人口地理,主要,劳动力不足、养老压力大
乡村,其他,乡村,城市环境恶化、乡村设施完善
乡村旅游,决策型,题目选项,服务城市居民是乡村旅游
乡村旅游（三乡工程；人才回流；产业振兴）,人文经济地理,乡村旅游,三乡工程；人才回流；产业振兴
乳畜,农业地理,乳畜,靠近城市、交通便利、饲料充足
二三,其他,二三,符合区域发展规律
